Year,Period,Label,12-Month % Change
2011,M05,2011 May,3.6
2011,M06,2011 Jun,3.6
2011,M07,2011 Jul,3.6
2011,M08,2011 Aug,3.8
2011,M09,2011 Sep,3.9
2011,M10,2011 Oct,3.5
2011,M11,2011 Nov,3.4
2011,M12,2011 Dec,3
2012,M01,2012 Jan,2.9
2012,M02,2012 Feb,2.9
2012,M03,2012 Mar,2.7
2012,M04,2012 Apr,2.3
2012,M05,2012 May,1.7
2012,M06,2012 Jun,1.7
2012,M07,2012 Jul,1.4
2012,M08,2012 Aug,1.7
2012,M09,2012 Sep,2
2012,M10,2012 Oct,2.2
2012,M11,2012 Nov,1.8
2012,M12,2012 Dec,1.7
2013,M01,2013 Jan,1.6
2013,M02,2013 Feb,2
2013,M03,2013 Mar,1.5
2013,M04,2013 Apr,1.1
2013,M05,2013 May,1.4
2013,M06,2013 Jun,1.8
2013,M07,2013 Jul,2
2013,M08,2013 Aug,1.5
2013,M09,2013 Sep,1.2
2013,M10,2013 Oct,1
2013,M11,2013 Nov,1.2
2013,M12,2013 Dec,1.5
2014,M01,2014 Jan,1.6
2014,M02,2014 Feb,1.1
2014,M03,2014 Mar,1.5
2014,M04,2014 Apr,2
2014,M05,2014 May,2.1
2014,M06,2014 Jun,2.1
2014,M07,2014 Jul,2
2014,M08,2014 Aug,1.7
2014,M09,2014 Sep,1.7
2014,M10,2014 Oct,1.7
2014,M11,2014 Nov,1.3
2014,M12,2014 Dec,0.8
2015,M01,2015 Jan,-0.1
2015,M02,2015 Feb,0
2015,M03,2015 Mar,-0.1
2015,M04,2015 Apr,-0.2
2015,M05,2015 May,0
2015,M06,2015 Jun,0.1
2015,M07,2015 Jul,0.2
2015,M08,2015 Aug,0.2
2015,M09,2015 Sep,0
2015,M10,2015 Oct,0.2
2015,M11,2015 Nov,0.5
2015,M12,2015 Dec,0.7
2016,M01,2016 Jan,1.4
2016,M02,2016 Feb,1
2016,M03,2016 Mar,0.9
2016,M04,2016 Apr,1.1
2016,M05,2016 May,1
2016,M06,2016 Jun,1
2016,M07,2016 Jul,0.8
2016,M08,2016 Aug,1.1
2016,M09,2016 Sep,1.5
2016,M10,2016 Oct,1.6
2016,M11,2016 Nov,1.7
2016,M12,2016 Dec,2.1
2017,M01,2017 Jan,2.5
2017,M02,2017 Feb,2.7
2017,M03,2017 Mar,2.4
2017,M04,2017 Apr,2.2
2017,M05,2017 May,1.9
2017,M06,2017 Jun,1.6
2017,M07,2017 Jul,1.7
2017,M08,2017 Aug,1.9
2017,M09,2017 Sep,2.2
2017,M10,2017 Oct,2
2017,M11,2017 Nov,2.2
2017,M12,2017 Dec,2.1
2018,M01,2018 Jan,2.1
2018,M02,2018 Feb,2.2
2018,M03,2018 Mar,2.4
2018,M04,2018 Apr,2.5
2018,M05,2018 May,2.8
2018,M06,2018 Jun,2.9
2018,M07,2018 Jul,2.9
2018,M08,2018 Aug,2.7
2018,M09,2018 Sep,2.3
2018,M10,2018 Oct,2.5
2018,M11,2018 Nov,2.2
2018,M12,2018 Dec,1.9
2019,M01,2019 Jan,1.6
2019,M02,2019 Feb,1.5
2019,M03,2019 Mar,1.9
2019,M04,2019 Apr,2
2019,M05,2019 May,1.8
2019,M06,2019 Jun,1.6
2019,M07,2019 Jul,1.8
2019,M08,2019 Aug,1.7
2019,M09,2019 Sep,1.7
2019,M10,2019 Oct,1.8
2019,M11,2019 Nov,2.1
2019,M12,2019 Dec,2.3
2020,M01,2020 Jan,2.5
2020,M02,2020 Feb,2.3
2020,M03,2020 Mar,1.5
2020,M04,2020 Apr,0.3
2020,M05,2020 May,0.1
2020,M06,2020 Jun,0.6
2020,M07,2020 Jul,1
2020,M08,2020 Aug,1.3
2020,M09,2020 Sep,1.4
2020,M10,2020 Oct,1.2
2020,M11,2020 Nov,1.2
2020,M12,2020 Dec,1.4
2021,M01,2021 Jan,1.4
2021,M02,2021 Feb,1.7
2021,M03,2021 Mar,2.6
2021,M04,2021 Apr,4.2
2021,M05,2021 May,5
2021,M06,2021 Jun,5.4
2021,M07,2021 Jul,5.4
2021,M08,2021 Aug,5.3
2021,M09,2021 Sep,5.4
2021,M10,2021 Oct,6.2
2021,M11,2021 Nov,6.8
2021,M12,2021 Dec,7
2022,M01,2022 Jan,7.5
2022,M02,2022 Feb,7.9
2022,M03,2022 Mar,8.5
2022,M04,2022 Apr,8.3
2022,M05,2022 May,8.6
2022,M06,2022 Jun,9.1
2022,M07,2022 Jul,8.5
2022,M08,2022 Aug,8.3
2022,M09,2022 Sep,8.2
2022,M10,2022 Oct,7.7
2022,M11,2022 Nov,7.1
2022,M12,2022 Dec,6.5
2023,M01,2023 Jan,6.4
2023,M02,2023 Feb,6
,,,
,,,
